행정구역,2022년07월_남_총인구수,2022년07월_남_연령구간인구수,2022년07월_남_0~9세,2022년07월_남_10~19세,2022년07월_남_20~29세,2022년07월_남_30~39세,2022년07월_남_40~49세,2022년07월_남_50~59세,2022년07월_남_60~69세,2022년07월_남_70~79세,2022년07월_남_80~89세,2022년07월_남_90~99세,2022년07월_남_100세 이상,2022년07월_여_총인구수,2022년07월_여_연령구간인구수,2022년07월_여_0~9세,2022년07월_여_10~19세,2022년07월_여_20~29세,2022년07월_여_30~39세,2022년07월_여_40~49세,2022년07월_여_50~59세,2022년07월_여_60~69세,2022년07월_여_70~79세,2022년07월_여_80~89세,2022년07월_여_90~99세,2022년07월_여_100세 이상
경상북도 울진군 기성면(4793035000),1159,1159,16,47,98,70,72,226,303,188,124,15,0,1254,1254,19,47,43,39,61,154,297,240,280,73,1
경상북도 울진군 온정면(4793036000),797,797,15,35,47,30,69,147,208,147,90,9,0,849,849,23,19,36,21,53,101,189,179,188,39,1
경상북도 울진군 죽변면(4793037000),3187,3187,137,178,388,297,438,652,658,308,120,11,0,3014,3014,116,165,232,218,320,539,651,388,323,61,1
경상북도 울진군 후포면(4793038000),3573,3573,152,286,333,255,485,689,749,453,151,20,0,3732,3732,168,224,236,241,399,617,884,563,334,64,2
경상북도 울진군 금강송면(4793039000),614,614,8,17,18,22,53,156,193,92,49,6,0,633,633,6,18,10,11,49,128,148,121,127,14,1
경상북도 울진군 매화면(4793040000),948,948,20,39,52,45,95,198,241,161,89,8,0,1052,1052,21,38,37,28,57,133,229,195,239,74,1
경상북도 울릉군 (4794000000),4996,4996,188,228,524,466,776,1072,996,518,205,23,0,4066,4066,170,220,314,344,469,742,868,568,309,61,1
경상북도 울릉군 울릉읍(4794025000),3536,3536,134,165,388,361,573,772,674,338,123,8,0,2864,2864,126,186,243,259,356,521,603,373,165,31,1
경상북도 울릉군 서면(4794031000),492,492,21,28,43,37,65,112,108,50,25,3,0,425,425,16,14,24,31,47,88,78,67,55,5,0
경상북도 울릉군 서면태하출장소(4794031500),255,255,11,10,14,12,28,55,58,45,16,6,0,196,196,5,5,7,12,5,38,55,35,24,10,0
경상북도 울릉군 북면(4794032000),713,713,22,25,79,56,110,133,156,85,41,6,0,581,581,23,15,40,42,61,95,132,93,65,15,0
경상남도  (4800000000),1658198,1658198,122453,165664,195850,193874,269003,296383,251078,116496,43668,3676,53,1635511,1635511,115874,152225,153955,175328,254870,282191,253291,140120,91533,15775,349
경상남도 창원시 (4812000000),519679,519679,38727,50819,67954,67837,84550,90966,76064,31982,10042,725,13,506378,506378,36447,46595,53220,59515,81047,92209,78329,36760,19032,3172,52
